geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
110,McClellan Park Neighborhood Association,2227,81.7,232081.0,2005,9,31,2005,21.1,7.9,22.3,27.5,2,2012
114,Marquette Neighborhood Association,4909,88.8,296847.0,1915,119,185,1915,4.7,7.0,12.8,15.4,46,2012
99,Mayfair Park Neighborhood Association,593,64.9,137059.0,1967,110,138,1967,9.4,7.4,22.3,24.9,36,2012
177,Summit Woods Neighborhood Association,721,85.0,205785.0,1966,16,18,1966,12.7,6.1,14.2,16.6,3,2012
150,Nakoma League,1778,93.8,415214.0,1938,30,30,1938,14.3,6.8,25.6,36.8,1,2012
169,Orchard Ridge Neighborhood Association,2262,87.6,200619.0,1964,48,110,1964,21.3,7.4,17.4,21.0,16,2012
87,North Lake Mendota Neighborhood Association,898,86.3,242591.0,1992,5,18,1992,8.8,7.0,15.1,27.2,0,2012
92,Lerdahl Park Neighborhood Association,925,80.4,281459.0,1966,10,32,1966,16.4,6.8,16.6,20.5,11,2012
131,Parkwood Hills Community Association,1274,87.5,320159.0,1972,65,51,1972,18.3,6.3,23.5,28.9,14,2012
160,Prairie Hills Neighborhood Association,3350,57.2,178162.0,1977,27,109,1977,6.3,7.0,30.1,34.4,41,2012
165,Maple-Prairie Neighborhood Association,1732,79.6,222609.0,1993,16,32,1993,3.5,7.5,21.7,26.9,5,2012
101,Ridgewood Neighborhood Association,3992,57.5,202437.0,1995,47,61,1995,3.8,7.7,27.0,35.0,15,2012
113,Rolling Meadows Neighborhood Association,2366,84.1,165225.0,1966,35,59,1966,15.0,6.4,20.7,26.8,13,2012
350,Marbella Condominium Association,463,78.8,,1996,1,6,1996,23.0,7.0,10.1,11.1,1,2012
85,Sherman Village Neighborhood Association,2283,82.2,152661.0,1966,9,41,1966,19.3,7.2,19.8,21.3,9,2012
134,Sauk Creek Neighborhood Association,1029,79.5,350848.0,1990,3,5,1990,11.6,6.7,23.2,29.6,2,2012
145,Oakbridge Community Neighborhood Association,343,81.5,216951.0,1984,1,2,1984,6.5,5.7,19.7,26.2,1,2012
182,Schenk-Atwood-Starkweather-Yahara Neighborhood Association,5773,88.0,209923.0,1925,282,227,1925,6.2,6.5,15.6,17.7,65,2012
117,Spring Harbor Neighborhood Association,2224,78.0,305098.0,1962,81,79,1962,12.2,5.3,17.4,20.7,10,2012
170,Stone Meadows Neighborhood Association,3118,78.8,217791.0,2000,22,74,2000,6.3,7.1,27.4,42.9,0,2012
